2,1080,146,26,3
2,1083,228,45,3
2,1083,228,41,3
2,272,608,50,3
2,269,2210,22,3
2,269,2210,22,3
1,975,3005,1800,5
2,271,3810,31,3
2,271,3810,31,3
2,268,15010,235,3
2,268,15010,235,3
2,1086,#3481,3330,3
2,1086,#3481,2800,3
4,974,04-7268,284,3
2,214,10A,1280,4
2,215,10R,360,4
2,219,14B,44,3
2,684,15KMS,692,8
2,1153,200AD,2200,4
2,1305,22B,68,3
2,968,22S6,42,3
2,270,22S8,22,3
2,1228,25C22C,21,3
2,890,2K-16,54,3
1,715,2K-16J,69,3
2,715,2K-16J,62,3
2,834,2K-22J,66,3
35,834,2K-22J,88,3
2,716,2K-22LB,65,3
2,717,2K-28J,73,3
2,718,2K-36J,105,3
2,719,2K-42J,135,3
2,1341,2K-54J,530,3
4,48,2SA11B,2019,3
2,696,2SPFAD,2375,3
2,696,2SPFAD,2375,3
2,1190,2SPFDR,2350,3
35,1190,2SPFDR,2499,3
1,120,341A,5000,4
1,121,341C,5000,4
2,1453,38B,83,3
2,293,38S6,59,3
2,291,38S8,59,3
2,188,3M117BK,80,8
2,191,3M117BL,80,8
2,1062,3M117GY,80,8
2,189,3M117RD,80,8
2,190,3M117WT,80,8
2,697,3SPFAD,2960,3
1,976,4-100BN,115,4
2,1462,4A413D,270,17
2,1463,4A416D,270,17
2,1464,4A419D,270,17
2,1465,4A425D,270,17
2,1123,4BN100,130,4
1,720,4C-16J,55,3
2,871,4C-22,59,3
2,878,4C-28,126,3
2,721,4C-28J,115,3
1,721,4C-28J,126,3
2,722,4C-36J,150,3
2,723,4C-42J,220,3
1,724,4C-54,432,3
2,700,5SPED,3000,3
2,924,6KCVT38,1900,6
1,977,80*80*300,1500,3
2,1331,8SPFDR,8700,3
2,63,8V0.15A,140,3
2,63,8V0.15A,140,3
1,64,A10454-0098,615,3
2,119,A63A 100V30A,6800,3
2,328,AB400,135,3
2,1064,AB405,1320,14
2,1065,AB409,1390,14
2,1066,AB416,1580,14
2,925,AE092,18,6
2,955,AE1210P,350,6
1,926,AE209,19,6
2,173,AE36745E,4800,3
2,174,AEE692180,1220,4
4,89,AF-610,379,3
2,89,AF-610,380,3
2,62,AF162,37.5,6
2,1473,AF610I,380,3
2,1182,AHAK,4600,4
2,1063,ANKAT36,7100,14
2,67,AP-200,63,3
2,86,AP-200-I,80,3
2,177,AP16,240,4
2,919,AT-100FNS4,1800,3
2,920,AT-150FNS4,2760,3
2,921,AT-200FNS4,7200,3
2,1007,AT5050,1080,8
2,1007,AT5050,1080,8
2,1189,AUE651071,10420,2
1,874,B-0G-Z,972,5
2,325,B-100AD,550,4
2,1122,B-100MVS-A-P,600,3
2,318,B-100SD,2124,4
2,304,B-100UV-A-P,850,3
2,314,B-100UV-A-P-BR,1100,3
2,320,B-150AD,775,4
2,319,B150SD,2900,4
2,315,B-150UV-A-P-BR,2500,3
1,315,B-150UV-A-P-BR,70,5
1,195,B-33EC 20A,1750,3
1,224,B-CT-DG,400,3
2,306,B-KM,3690,13
1,307,B-KM7,3600,3
2,308,B-PH8-L,7600,3
2,1240,B100AD,550,4
35,1240,B100AD,560,4
2,317,B100MVSP,600,3
2,225,B12-35,7000,15
2,1005,B13100,130,4
2,292,B14,46,3
2,305,B150MVSAP,1300,3
2,273,B22,68,3
2,274,B38,80,3
2,275,B55,10,3
2,296,B8,22,3
2,41,BC452AP,4500,11
2,1300,BC45R,4500,2
1,332,BCD31571K,4885,3
2,978,BCTDG,300,3
2,322,BD-100MVSAP,1550,3
2,323,BD-150MVSAP,2400,3
2,324,BD-150UVAP,3500,3
2,1224,BDH14,1700,14
2,258,BDS12-55AC,11700,3
2,334,BG70221H,16700,2
2,1120,BH-P2P30A,1950,3
2,1474,BHM3,3470,13
1,103,BHRF100/110V160WH,2080,4
2,104,BHRF110V500WH,5400,4
1,908,BJ-28XP,198,3
2,1221,BKBZAM,1800,3
1,220,BKJ,1800,4
2,329,BKM,3690,13
1,171,BL3934-01,1470000,11
2,725,BP-0LJ,620,5
1,726,BP-2LG,1000,5
2,726,BP-2LG,1180,5
2,727,BP2LJ,940,5
2,1273,BP2,1600,4
2,917,BP2G,817,5
2,1327,BP2LDG,1060,5
2,1327,BP2LDG,940,3
2,336,BQE36241ZR,53000,15
1,337,BQR36244,24500,15
2,338,BS1112,360,3
2,160,BSP215FN32,1432,3
2,1188,BTL1100G,21000,2
2,1468,BYAM3,4950,13
2,672,C-RT1,2980,3
2,339,C5AB0510B3,210,3
2,176,CB-M16X200VS,500,4
2,280,CB150S10,280,3
2,226,CB32X2P2E20A,350,2
2,285,CB60S8,80,3
1,979,CBZ-16,10,3
2,1457,CBZ22,13,3
2,1458,CBZ28,20,3
2,918,CDC-22G,46,3
2,905,CDK-22G,50,3
2,1314,CDK22G,50,3
1,906,CDO-4AXP4-1,3366,3
2,866,CDO-4B,175,3
2,860,CDO-5B,360,3
2,1299,CDO4A,120,3
2,1312,CDO4B,200,3
2,1298,CDO5B,360,3
